step,transaction_id,transaction_type,channel,device_type,network_provider,time_of_day,day_of_week,amount,customer_id,customer_type,customer_region,old_balance,new_balance,recipient_id,recipient_type,recipient_region,recipient_old_balance,recipient_new_balance,isFraud,isFlaggedFraud
31,T835473,TRANSFER,API,FeaturePhone,AirtelTigo,Night,Saturday,79770.33,C3497983389,Merchant,Ashanti,487.41,0.0,R1679348721,Individual,Eastern,24592.88,104363.21,1,1
257,T627611,TRANSFER,USSD,iOS,AirtelTigo,Night,Sunday,74991.27,C6558769264,Government,Greater Accra,2573.99,0.0,R5067400473,Individual,Central,46793.56,121784.83,1,1
317,T247674,CASH_OUT,API,Android,Vodafone,Night,Saturday,60847.36,C1960340589,Agent,Eastern,90578.05,29730.690000000002,R8088843915,Merchant,Central,27073.19,87920.55,0,0
268,T508856,TRANSFER,App,Android,MTN,Night,Thursday,69373.25,C4550100615,Government,Ashanti,2581.75,0.0,R8893236404,Merchant,Upper East,12073.37,81446.62,1,1
255,T804007,CASH_OUT,Agent,Android,Vodafone,Night,Thursday,85046.81,C5884207222,Government,Upper East,1651.01,0.0,R9673525330,Merchant,Upper East,12921.62,97968.43,1,1
1,T754644,TRANSFER,Agent,Android,Vodafone,Night,Monday,97959.92,C6691628146,Individual,Upper West,1006.83,0.0,R7573691558,Individual,Greater Accra,36352.84,134312.76,1,1
711,T579766,CASH_OUT,App,FeaturePhone,Vodafone,Night,Sunday,10876.13,C4960195993,Individual,Ashanti,143.81,0.0,R7588022249,Merchant,Northern,2563.95,13440.079999999998,1,0
510,T789738,CASH_OUT,App,Android,MTN,Night,Friday,49194.6,C8603466029,Agent,Volta,2954.58,0.0,R1970686139,Individual,Volta,4598.08,53792.68,1,1
655,T529161,TRANSFER,Agent,iOS,AirtelTigo,Night,Friday,46811.47,C6504099682,Government,Upper West,1347.44,0.0,R2020262123,Individual,Western,9847.68,56659.15,1,1
534,T806848,CASH_OUT,API,iOS,AirtelTigo,Night,Friday,90915.8,C6200141898,Agent,Northern,382.05,0.0,R3495411322,Individual,Northern,5764.56,96680.36,1,1
478,T387361,TRANSFER,App,Android,MTN,Night,Thursday,7075.23,C2970984707,Individual,Central,982.26,0.0,R5723086286,Individual,Western,42496.97,49572.2,1,0
304,T386814,CASH_OUT,App,iOS,Vodafone,Night,Tuesday,62125.1,C4322338756,Government,Central,42.83,0.0,R5975440949,Agent,Ashanti,16159.7,78284.8,1,1
54,T918771,TRANSFER,API,FeaturePhone,Vodafone,Night,Monday,69808.21,C8111312076,Individual,Greater Accra,2017.52,0.0,R2173456409,Government,Northern,18233.53,88041.74,1,1
390,T546390,CASH_OUT,App,iOS,MTN,Night,Wednesday,55184.82,C5942423191,Individual,Ashanti,1805.64,0.0,R6631097590,Agent,Upper West,39465.44,94650.26000000001,1,1
610,T586241,REVERSAL,USSD,iOS,AirtelTigo,Afternoon,Wednesday,75556.8,C8803438370,Government,Upper West,16221.41,0.0,R1244252663,Agent,Central,18653.49,94210.29000000001,0,0
714,T330636,CASH_IN,Agent,iOS,Vodafone,Night,Wednesday,61246.64,C3727382746,Agent,Upper West,38996.15,0.0,R7494111947,Government,Greater Accra,2685.5,63932.14,0,0
251,T299591,REVERSAL,App,FeaturePhone,AirtelTigo,Afternoon,Wednesday,64146.35,C9329871034,Agent,Greater Accra,91468.54,27322.189999999995,R2063223260,Agent,Ashanti,8360.74,72507.09,0,0
367,T326789,TRANSFER,USSD,FeaturePhone,MTN,Night,Monday,23122.41,C7377834977,Individual,Western,2375.48,0.0,R5091155518,Agent,Eastern,35251.94,58374.350000000006,1,1
627,T574290,CASH_IN,App,Android,MTN,Morning,Tuesday,46689.67,C5952658405,Agent,Western,32319.58,0.0,R4340126881,Individual,Upper East,35183.39,81873.06,0,0
10,T710097,TRANSFER,Agent,iOS,Vodafone,Night,Monday,34952.83,C8078166989,Agent,Northern,1604.23,0.0,R8027135747,Individual,Upper East,623.08,35575.91,1,1
270,T146777,TRANSFER,USSD,Android,AirtelTigo,Night,Wednesday,86107.49,C3539302505,Government,Greater Accra,1906.09,0.0,R8356592812,Individual,Eastern,755.36,86862.85,1,1
341,T204745,TRANSFER,USSD,Android,MTN,Night,Friday,75965.5,C8580552734,Agent,Eastern,2678.41,0.0,R4024449293,Merchant,Upper East,25922.58,101888.08,1,1
525,T502643,CASH_OUT,USSD,Android,AirtelTigo,Night,Tuesday,84930.11,C1088974176,Agent,Central,840.47,0.0,R4550057836,Government,Western,13932.52,98862.63,1,1
687,T660612,TRANSFER,App,FeaturePhone,MTN,Night,Saturday,76221.6,C8875096662,Agent,Volta,2057.06,0.0,R1951075546,Merchant,Northern,27127.38,103348.98000000001,1,1
